#Frame     GSA[EELEC]    GSA[EVDW]
     419     201.9704      -8.6607
     420     189.5045     -11.4236
     421     265.9378     -12.2934
     422     190.7721      -9.6764
     423     218.6077     -14.3836
     424     162.8522      -8.7638
     425     164.4088     -21.7892
     426     168.0859     -19.6234
     427     189.0086     -19.3254
     428     197.1413     -20.3604
     429     140.7065     -10.2937
     430     209.7146      -5.5870
     431     151.3551     -10.4138
     432     146.8262     -11.9954
     433     157.1903     -10.0379
     434     140.6051     -13.0363
     435     132.5395     -11.1120
     436     153.6128     -12.2054
     437     155.4302     -13.4602
     438     127.6890      -5.7453
     439     175.2508      -5.4555
     440     122.0700      -3.4725
     441     168.2769      -9.8370
     442     133.3655     -19.0483
     443     171.7445     -16.9486
     444     207.0938     -17.1043
     445     151.9819     -10.5289
     446     142.9731     -17.5249
     447     112.8924      -8.2525
     448     152.1135     -15.5833
     449     158.3574     -24.4219
     450      96.2676     -21.5538
     451     169.3267     -27.1271
     452     161.3009     -23.8378
     453     190.4666     -24.4316
     454     111.6073     -20.7874
     455     174.8117     -21.6044
     456     169.8139     -16.6070
     457     153.1296     -19.5043
     458     184.7119     -17.3352
     459      73.5112     -14.3294
     460     161.1873     -16.5918
     461     147.1893     -19.6752
     462     155.1624     -17.9653
     463      97.0315     -16.3973
     464     161.1613     -26.1189
     465     166.4878     -28.6563
     466     206.4403     -27.8753
     467     168.0826     -17.3007
     468     172.2850     -20.1794
     469     167.7694     -26.5452
     470     158.3790     -23.8203
     471     192.0881     -23.7226
     472     171.5826     -21.7792
     473     120.5583     -14.8974
     474     129.1263     -16.2426
     475     112.0010     -15.7513
     476     123.9899     -10.2794
     477      51.3552     -12.3520
     478      95.0652      -8.1349
     479     130.1147      -8.7565
     480     154.7689      -5.2531
     481     185.3835      -9.2219
     482     160.9250      -6.8394
     483     204.9738      -5.8705
     484     178.8573     -15.1786
     485     155.3337     -15.0964
     486     147.7173     -11.8562
     487     182.9386     -16.5511
     488     171.8616      -8.2653
     489     156.5420      -3.9363
     490     162.8980      -7.8947
     491     122.7919      -3.4002
     492     206.1033     -12.0204
     493     146.5374      -3.8790
     494     138.3511      -8.8503
     495     173.8637      -6.3768
     496     135.8983      -7.4397
     497     112.0752      -3.0444
     498      53.4244      -6.6504
     499     119.3251      -2.8341
     500      66.0511      -9.9225
     501     113.4216     -11.6049
     502     142.6340     -13.9505
     503     143.7545     -10.9828
     504     162.4347      -7.0870
     505     177.5704      -9.7410
     506     176.5926     -15.3417
     507     109.6152      -6.2777
     508     126.1245      -4.9381
     509      99.0312      -9.4879
     510     126.2090      -4.3834
     511     122.6792      -9.7602
     512      93.6785      -5.5175
     513     136.5075     -11.8193
     514      81.0508     -10.9498
     515      16.3333      -2.1657
     516      95.7180      -8.6614
     517      53.3747      -7.7632
     518      82.7179     -12.8157
     519      74.2366     -11.4427
     520      89.0795     -13.8613
     521     102.1985     -13.8765
     522      79.5116     -15.6906
     523     123.8366     -17.5423
     524     129.6273     -15.9193
     525     126.3453     -10.1144
     526     108.6284     -11.9689
     527      86.7206      -3.1762
     528      93.1065     -12.4980
     529     123.5588     -12.3309
